電話番号,会社名・氏名,会社名・氏名（カナ）,ホワイトリスト,ブラックリスト,カテゴリー,生年月日,性別,郵便番号,都道府県,市区町村,以下の住所,備考
03-5341-4711,株式会社　グッド保険サービス,,,,,,,,,,,
03-3448-7278,コムシス通産株式会社,,,,,,,,,,,
03-3785-5121,有限会社さんえん,,,,,,,,,,,
03-6805-3728,株式会社シーエムオー,,,,,,,,,,,
03-5949-2871,株式会社ジャパンネクスト,,,,,,,,,,,
03-5776-3775,株式会社 スキップス 東京中央支店,,,,,,,,,,,
03-3988-4700,株式会社スマート保険プラン,,,,,,,,,,,
03-3838-3531,株式会社セフティー,,,,,,,,,,,
03-3845-6761,株式会社そうあい保険事務所,,,,,,,,,,,
03-5542-2850,有限会社　ティーエム総合保険,,,,,,,,,,,
03-6831-0680,株式会社 トータルアセットパートナーズ,,,,,,,,,,,
03-5414-6700,トータルサービスプランナーズネット株式会社　東京中央支店,,,,,,,,,,,
03-6421-0971,株式会社トラストワンＤ'ｓ,,,,,,,,,,,
03-5643-7327,ノバリ株式会社,,,,,,,,,,,
03-6808-2532,株式会社　ハーネス・ライフ,,,,,,,,,,,
03-5629-2352,有限会社　バックアップ,,,,,,,,,,,
03-5787-8640,株式会社ぱれっと,,,,,,,,,,,
03-3820-3700,株式会社パンダム,,,,,,,,,,,
03-3923-3881,株式会社ひまわり,,,,,,,,,,,
03-3453-5241,株式会社ヒューマン＆アソシエイツ東京支店,,,,,,,,,,,
03-5647-7078,株式会社ビッグベル,,,,,,,,,,,
03-5485-1818,株式会社ファーストプレイス,,,,,,,,,,,
03-3366-1555,株式会社プラウド,,,,,,,,,,,
03-3392-8645,株式会社ベスター・ブライトン・ランス,,,,,,,,,,,
03-5950-5675,株式会社　ベストアドバイス,,,,,,,,,,,
0120-28-1072,ほけんのパートナーズ（宮崎）,,,,,,,,,,,
03-6277-6277,ほけんの匠　東京北支店,,,,,,,,,,,
03-3516-0717,ほけんの匠 東京営業部,,,,,,,,,,,
03-3873-9311,ほけんの匠　東京東支店,,,,,,,,,,,
03-3607-6658,ほけんの匠　葛飾支店,,,,,,,,,,,
03-5319-3500,ほけんの匠　駒込支店,,,,,,,,,,,
03-5288-7780,ほけんの窓口グループ 株式会社,,,,,,,,,,,
03-3307-1519,株式会社ミヤシタ,,,,,,,,,,,
03-5907-0550,みんなのデザイン株式会社,,,,,,,,,,,
03-5347-9565,株式会社ゆいわーく,,,,,,,,,,,
03-3321-9166,ユナイト株式会社,,,,,,,,,,,
03-6868-8474,株式会社 ライジングエージェント,,,,,,,,,,,
03-5345-6231,株式会社　ライズオフィス中野オフィス,,,,,,,,,,,
03-5779-1919,株式会社　ライズオフィス（駒沢）,,,,,,,,,,,
03-5730-7751,株式会社ライフィ,,,,,,,,,,,
03-5879-8839,ライフクラフト株式会社,,,,,,,,,,,
03-5308-6945,株式会社　ライフコンシェルジュ,,,,,,,,,,,
03-5935-8740,株式会社ライフコンシェルジュ,,,,,,,,,,,
03-6228-3711,有限会社リスクマスターズ,,,,,,,,,,,
03-6417-9991,株式会社ワイズアップ・エージェント,,,,,,,,,,,
03-3863-1050,株式会社ワイズエージェンシー,,,,,,,,,,,
03-5623-6455,株式会社 ワイズマン東京支店,,,,,,,,,,,
03-6264-9016,株式会社ワンダフルライフ,,,,,,,,,,,
03-6914-0790,株式会社アドバンスプラザ,,,,,,,,,,,
03-5614-6771,株式会社 中央保険センター,,,,,,,,,,,
03-5714-1500,有限会社京浜保険センタ－,,,,,,,,,,,
03-6214-2384,株式会社企業保険サポート,,,,,,,,,,,
03-3891-2738,株式会社保険あっとなびプラネット,,,,,,,,,,,
03-6411-7310,株式会社保険あっとなびプラネット　世田谷店,,,,,,,,,,,
03-5909-3950,株式会社保険アドバイザー,,,,,,,,,,,
03-6904-2340,株式会社保険サ－ビス,,,,,,,,,,,
03-3502-0303,保険サービスシステムHD株式会社,,,,,,,,,,,
03-3605-0888,株式会社　保険サポーター,,,,,,,,,,,
0120-641-308,保険相談サロンＦＬＰ　アトレ大森店,,,,,,,,,,,
0120-454083,保険相談サロンＦＬＰ　京王笹塚テラス店,,,,,,,,,,,
0120-430159,保険相談サロンＦＬＰ　用賀ＳＢＳ店,,,,,,,,,,,
03-5242-2500,株式会社匠保険事務所,,,,,,,,,,,
03-6263-0656,千代田・ユナイテッドＧＳ,,,,,,,,,,,
03-3967-2792,株式会社博洋エージェンシーサービス,,,,,,,,,,,
03-5825-4457,土橋保険サービス,,,,,,,,,,,
03-6454-3611,株式会社　城北保険サービス,,,,,,,,,,,
03-3215-2651,株式会社大栄商会,,,,,,,,,,,
03-3435-1313,大英商事株式会社,,,,,,,,,,,
03-5316-2984,安心いちばん株式会社　世田谷支店,,,,,,,,,,,
03-3667-7531,日本インシュアランスグループ 株式会社,,,,,,,,,,,
03-5640-7661,日本保険センター株式会社,,,,,,,,,,,
03-3261-6455,木内インターナショナル株式会社,,,,,,,,,,,
03-3532-3983,東京中央代理店,,,,,,,,,,,
03-6912-2180,株式会社東京保険サービス,,,,,,,,,,,
03-3375-8468,東京海上日動パートナーズ 新宿支社,,,,,,,,,,,
03-5302-8007,東京海上日動パートナーズ 東京新都心支社,,,,,,,,,,,
03-6826-8200,東京海上日動パートナーズ 品川支社,,,,,,,,,,,
03-6826-8421,東京海上日動パートナーズ 営業課,,,,,,,,,,,
03-6907-4622,東京海上日動パートナーズ 池袋支社,,,,,,,,,,,
03-5637-1611,東京海上日動パートナーズ 東東京支社,,,,,,,,,,,
03-3676-3553,有限会社東光保険サービス,,,,,,,,,,,
03-6427-6122,株式会社東海ネットワーク,,,,,,,,,,,
03-6424-8011,株式会社　東海ネットワーク（蒲田）,,,,,,,,,,,
03-3754-3711,柏木保険事務所（有限会社　ケ－・アイ・オ－）,,,,,,,,,,,
03-5695-9941,株式会社 白岩商会,,,,,,,,,,,
03-3274-2511,株式会社石黒保険事務所,,,,,,,,,,,
03-6222-0230,株式会社 豊明商会,,,,,,,,,,,
03-3523-5421,株式会社 龍崎,,,,,,,,,,,
03-3226-3253,株式会社ミライズ,,,,,,,,,,,
03-5357-7955,株式会社富士グローバル,,,,,,,,,,,
03-5312-5307,ニット保険株式会社,,,,,,,,,,,
03-6380-9501,株式会社若葉共済会,,,,,,,,,,,
03-3261-0861,株式会社イージスワン,,,,,,,,,,,
03-5338-5235,株式会社インシュアランス・トータル・サービス,,,,,,,,,,,
03-3209-3881,株式会社共保商会,,,,,,,,,,,
03-5326-8587,有限会社ヒポクラテス社,,,,,,,,,,,
03-3497-8200,伊藤忠オリコ保険サービス株式会社,,,,,,,,,,,
03-3585-1941,株式会社第一代理店,,,,,,,,,,,
03-4500-8480,株式会社グリット,,,,,,,,,,,
03-5805-5061,株式会社日栄サービス,,,,,,,,,,,
03-5802-3611,株式会社ビッグネットワーク,,,,,,,,,,,
03-5331-3587,有限会社ＦＰアリアンス,,,,,,,,,,,
03-3379-0211,有限会社ベルティオ,,,,,,,,,,,
03-5244-5360,緑富士株式会社,,,,,,,,,,,
03-5801-6620,株式会社ゲット総合企画,,,,,,,,,,,
03-5979-5880,株式会社フラッグ,,,,,,,,,,,
03-6403-0345,株式会社リブウェイ,,,,,,,,,,,
03-4241-4240,三和倉庫株式会社,,,,,,,,,,,
03-6381-0740,株式会社ジェイ・エフ・エー,,,,,,,,,,,
03-3468-2666,株式会社パートナー,,,,,,,,,,,
03-5289-9211,損保ジャパンパートナーズ株式会社東東京支店,,,,,,,,,,,
03-3231-1200,株式会社インターランド,,,,,,,,,,,
03-6822-6614,株式会社カルテット,,,,,,,,,,,
03-6262-1996,有限会社アクティブ・ティーチャーズ・ライフ,,,,,,,,,,,
03-3861-3412,株式会社今井モータ－ス,,,,,,,,,,,
03-3836-3600,インスイレヴン株式会社,,,,,,,,,,,
03-3953-3229,有限会社光洋商事,,,,,,,,,,,
03-3837-0507,有限会社ほけんワークス,,,,,,,,,,,
03-3270-7070,株式会社イズムコーポレーション,,,,,,,,,,,
03-5614-0582,株式会社東京トータルプランニング,,,,,,,,,,,
03-5818-0711,株式会社エヌ・エフ・エー,,,,,,,,,,,
03-6806-7986,株式会社コミヤ保険サービス,,,,,,,,,,,
03-5846-9590,株式会社ライフジャパン芙蓉,,,,,,,,,,,
03-3665-3400,株式会社エフェクト,,,,,,,,,,,
03-5644-8880,株式会社ドコモ・インシュアランス,,,,,,,,,,,
03-5917-3933,株式会社リンクソリューション,,,,,,,,,,,
03-5821-3977,株式会社アビリティ,,,,,,,,,,,
03-5600-2710,株式会社マリオットマーキーズ,,,,,,,,,,,
03-3844-8218,有限会社花形保険事務所,,,,,,,,,,,
03-3843-1031,有限会社ユウキ総合保険事務所,,,,,,,,,,,
03-3914-0277,株式会社あさの保險センター,,,,,,,,,,,
03-3623-1875,岡建不動産株式会社,,,,,,,,,,,
03-5964-5525,株式会社ベル保険事務所,,,,,,,,,,,
03-6431-9601,損保ジャパンパートナーズ株式会社南東京支店,,,,,,,,,,,
03-6825-1670,株式会社保険ステーション,,,,,,,,,,,
03-3411-0296,有限会社トレーディング渋谷,,,,,,,,,,,
03-5449-6500,テクニカルサポート有限会社,,,,,,,,,,,
03-3779-2281,株式会社ＳＡＹインシュアランス,,,,,,,,,,,
03-3223-9235,株式会社アマノエンタープライズ,,,,,,,,,,,
03-6778-8316,出光保険サービス株式会社,,,,,,,,,,,
03-5436-0212,株式会社トピーエージェンシー,,,,,,,,,,,
03-3493-5065,小澤物産株式会社,,,,,,,,,,,
03-3967-9562,株式会社アドバンス,,,,,,,,,,,
03-3714-3861,有限会社ノービス,,,,,,,,,,,
03-3806-6211,風土サービス株式会社,,,,,,,,,,,
03-3623-9051,有限会社プロテクト,,,,,,,,,,,
03-3888-6395,株式会社鈴木商会,,,,,,,,,,,
03-3715-5481,有限会社ツーエム,,,,,,,,,,,
03-5813-0241,有限会社ホウジョウ,,,,,,,,,,,
03-5399-7258,有限会社大松プランニング,,,,,,,,,,,
03-3968-0161,株式会社トラスト,,,,,,,,,,,
03-3784-6451,株式会社信幸保険事務所,,,,,,,,,,,
03-5923-9331,株式会社パンダインシュアランス,,,,,,,,,,,
03-3852-0131,株式会社シマクラ保険,,,,,,,,,,,
03-3778-1211,株式会社城南,,,,,,,,,,,
03-5491-0090,株式会社安田みらい保険,,,,,,,,,,,
03-6458-6981,エースビジネスサービス株式会社,,,,,,,,,,,
03-3307-8733,有限会社大野ライフリスクコンサルタント,,,,,,,,,,,
03-6913-1555,損保ジャパンパートナーズ株式会社北東京支店,,,,,,,,,,,
03-6410-8361,有限会社ふれあいプラスワン,,,,,,,,,,,
03-5888-6859,株式会社クリエイトライフ,,,,,,,,,,,
03-3601-4711,有限会社スズキプランニング,,,,,,,,,,,
